Bundestagswahl 2013
 Zwischenergebnis
Nr;Gebiet;gehört;Wahlberechtigte;;;;Wähler;;;;Ungültige;;;;Gültige;;;;CDU;;;;SPD;;;;FDP;;;;DIE LINKE;;;;GRÜNE;;;;CSU;;;;PIRATEN;;;;NPD;;;;Tierschutzpartei;;;;REP;;;;ÖDP;;;;FAMILIE;;;;Bündnis 21/RRP;;;;RENTNER;;;;BP;;;;PBC;;;;BüSo;;;;DIE VIOLETTEN;;;;MLPD;;;;Volksabstimmung;;;;PSG;;;;AfD;;;;BIG;;;;pro Deutschland;;;;DIE RECHTE;;;;DIE FRAUEN;;;;FREIE WÄHLER;;;;Nichtwähler;;;;PARTEI DER VERNUNFT;;;;Die PARTEI;;;;B;;;;BGD;;;;DKP;;;;NEIN!;;;;Übrige;;;;
32;"Cloppenburg - Vechta";3;216299;212449;;;153766;148935;;;1420;1708;1210;1425;152346;147227;152556;147510;101007;91686;96397;80355;32422;28053;30166;24358;2811;12700;7073;23001;3823;6927;4257;7518;5702;6575;6488;7827;;;;;;;1818;1953;871;1286;896;1132;;;684;766;;;51;;;;;108;1020;;;;;;;372;;;;;;;;;;;252;;;;;;;;;;;;21;35;;;;;;;;;3238;;3555;;;;;;;;104;;;;;;;;;;1452;;794;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;85;
33;"Diepholz - Nienburg I";3;193114;193411;;;142383;141838;;;1535;1646;1249;1315;140848;140192;141134;140523;66848;52599;61392;47565;47079;48313;44432;38955;2845;15928;6929;22067;4933;9775;6359;11701;10602;11917;11556;13999;;;;;2168;;2144;2435;1288;1660;1175;1442;;;1197;1059;;;102;;;;;143;;;;;;;;937;;;;;;;;;;;137;;;;;;;;;;;;21;27;;;;;;;;;3569;;4850;;;;;;;;167;;;;;;;;;;901;;673;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;615;;;193;
34;"Osterholz - Verden";3;193642;192320;;;144910;144883;;;1501;1642;1708;1337;143409;143241;143202;143546;63168;53080;57226;45908;53655;52397;47403;41979;1360;10787;5247;17889;7192;12242;8005;13830;9728;12318;13711;17053;;;;;2517;;2654;2339;1290;2417;1322;1981;;;1251;1228;;;90;;;;;152;;;;;;;;976;;;;;;;;;;;190;;;;;;;;;;;;58;24;;;;;;;;;4499;;5488;;;;;;;;165;;;;;;;;;;;;392;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;187;
35;"Rotenburg I - Heidekreis";3;167563;168573;;;122823;121941;;;1316;1702;999;1326;121507;120239;121824;120615;54449;48344;53162;42324;49299;42395;38015;33279;2097;9895;4930;16930;4758;8366;5572;9759;6026;9101;10334;12155;;;;;1880;;1720;2252;1612;2138;1273;1825;;;1028;1172;;;68;;;;;133;;;;;;;;597;;;;;;;;;;;175;;;;;;;;;;;;37;22;;;;;;;;;;;4571;;;;;;;;143;;;;;;;;;;1386;;796;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;167;
36;"Harburg";3;194855;191159;;;152819;148918;;;1415;1976;1216;1552;151404;146942;151603;147366;68461;59657;64904;50104;47907;45002;42915;36139;5110;15812;7382;24967;5475;9611;6643;10825;10751;13772;14077;18002;;;;;2378;;2501;2963;1110;1935;1193;1636;;;1366;1132;;;74;;;;;238;;;;;;1153;;1150;;;;;;;;;;;161;;;;;;;;;;;;33;33;;;;;;;;;8703;;9069;;;;;;;;139;;;;;;;;;;1509;;1146;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;177;
37;"Lüchow-Dannenberg - Lüneburg";3;179034;177098;;;133574;131466;;;1380;1695;1161;1366;132194;129771;132413;130100;52641;43229;48755;37291;44490;40411;38415;32321;2112;11242;5281;16323;7784;11935;9201;13166;15918;19645;18892;23543;;;;;2879;;2999;2795;1240;1860;1145;1594;;;1081;1002;;;47;;;;;194;;;;;;1449;;1704;;;;;;;;;206;;177;;;;;;;;;;;;30;32;;;;;;;;;4924;;5852;;;;;;;;136;;;;;;;;;;;;402;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;135;
38;"Osnabrück-Land";3;197534;197143;;;144855;144630;;;1396;1706;1121;1353;143459;142924;143734;143277;76178;63175;68973;55599;46365;46028;42215;37936;2546;12940;6598;21117;5161;9006;5782;10211;8331;10393;11049;13227;;;;;2526;;2187;2268;1134;1382;968;1243;;;802;854;;;36;;;;;190;;;;;;;;486;;;;;;;;;404;;445;;;;;;;;;;;;31;26;;;;;;;;;;;4038;;;;;;;;134;;;;;;;;;;814;;476;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;120;
39;"Stadt Osnabrück";3;194258;192473;;;142837;143711;;;1917;1584;1641;1370;140920;142127;141196;142341;64414;54522;60752;48398;49060;46979;43098;38000;3934;14823;5874;19941;5839;9918;7188;11878;12568;14282;15390;18463;;;;;3103;;2794;3168;884;945;652;848;;;815;880;;;49;;;;;216;;;;;;;;443;;;;;;;;;289;;225;;;;;;;;;;;;33;18;;;;;;;;;;;3765;;;;;;;;88;;;;;;;;;;829;;473;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;658;;88;
40;"Nienburg II - Schaumburg";3;195948;198376;;;141752;143398;;;1469;1706;1164;1376;140283;141692;140588;142022;58338;52714;56265;45750;62629;58649;51035;46797;1948;8712;4991;17698;4647;8797;6006;10847;8174;10217;11369;13815;;;;;2693;;2108;2454;1854;2036;1216;1858;;;1128;1079;;;111;;;;;183;;;;;;;;1352;;;;;;;;;;;214;;;;;;;;;;;;56;42;;;;;;;;;;;5497;;;;;;;;159;;;;;;;;;;;;433;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;567;;147;
41;"Stadt Hannover I";3;181122;180088;;;129861;131369;;;1876;1556;1861;1381;127985;129813;128000;129988;46653;42621;42911;34448;55708;50592;45442;40497;1889;9699;6043;16680;6442;10624;7993;12111;9876;13364;15718;19019;;;;;2432;;2434;3102;;1759;808;1681;;;988;1081;;;122;;;;;190;;;;;;978;;973;;;;;;;;;;;137;;;;;;;;;;143;176;78;88;;;;;;;;;4052;;4653;;;;;;;;167;;;;;;;;;;790;;506;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;118;
