Bundestagswahl 2013
 Zwischenergebnis
Nr;Gebiet;gehört;Wahlberechtigte;;;;Wähler;;;;Ungültige;;;;Gültige;;;;CDU;;;;SPD;;;;FDP;;;;DIE LINKE;;;;GRÜNE;;;;CSU;;;;PIRATEN;;;;NPD;;;;Tierschutzpartei;;;;REP;;;;ÖDP;;;;FAMILIE;;;;Bündnis 21/RRP;;;;RENTNER;;;;BP;;;;PBC;;;;BüSo;;;;DIE VIOLETTEN;;;;MLPD;;;;Volksabstimmung;;;;PSG;;;;AfD;;;;BIG;;;;pro Deutschland;;;;DIE RECHTE;;;;DIE FRAUEN;;;;FREIE WÄHLER;;;;Nichtwähler;;;;PARTEI DER VERNUNFT;;;;Die PARTEI;;;;B;;;;BGD;;;;DKP;;;;NEIN!;;;;Übrige;;;;
185;"Offenbach";6;221650;221180;;;158005;158857;;;4726;3969;4082;4213;153279;154888;153923;154644;69796;62281;59806;49267;47901;44542;40125;34376;4363;15843;9811;28409;9438;11594;10167;13813;12510;15243;16444;19863;;;;;3772;;3619;3835;2536;2434;1660;1766;;2722;;1858;;;629;1068;;;;;;;;;;;;;;;;;;;;;;;;;;;49;198;;;;;;;40;41;;;;;;;78;;;;8982;;;;;;;;224;;;;;;;;;;2963;;1452;;;;;;;;;;;;837;;;;;;;;;;;;;;;;;;;229;;150;
186;"Darmstadt";6;;233622;;;;176435;;;;3467;;3050;;172968;;173385;;60536;;49924;;60581;;43605;;13553;;26539;;11213;;14869;;20963;;29727;;;;;;3866;;4390;;1860;;1501;;;;1650;;;;788;;;;;;;;;;;;;;;;;;;;;;;;;;;;173;;;;;;;;87;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;396;;132;
187;"Odenwald";6;234358;234911;;;177272;176808;;;6021;5386;5436;4959;171251;171422;171836;171849;80323;69191;69850;56677;57587;50797;48616;42756;4581;18409;8964;29697;8622;11574;9460;13403;11854;16215;15560;19379;;;;;5278;;4034;4098;3006;2183;2035;1907;;;;1765;;1772;764;1723;;;;;;;;;;;;;;;;;;;;;;;;;;;101;228;;;;;;;76;79;;;;;;;83;;;;9864;;;;;;;;289;;;;;;;;;;;;1307;;;;;;;;;;;;833;;;;;;;;;;;;;;;;;;;1281;;137;
188;"Bergstraße";6;199922;199708;;;148389;148308;;;3268;3135;3834;2708;145121;145173;144555;145600;70124;64472;61336;50275;46096;44903;39836;35748;2797;12966;7975;25219;5730;9171;7025;10891;8222;11296;12520;15683;;;;;2779;;2951;2782;1635;2365;1589;1607;;;;1618;;;617;1458;;;;;;;;;;;;;;;;;;;;;;;;;;;67;165;;;;;;;32;41;;;;;;;62;;6129;;8134;;;;;;;;182;;;;;;;;;;1609;;1602;;;;;;;;;;;;627;;;;;;;;;;;;;;;;;;;;;113;
6;"Hessen";99;3801585;3795572;;;2777181;2793706;;;79676;64461;72830;59582;2697505;2729245;2704351;2734124;1212440;1074439;1061871;882165;931013;887505;786787;708466;69290;262885;147081;449720;146293;198024;162733;236024;196026;242135;260103;317784;;;;;64678;;54341;56927;35293;39803;30835;32303;;12596;;27790;772;6001;7273;16596;;;;;;;;;;;;;;;;;;;;;;;;;278;769;1272;3177;;;;;325;489;957;987;;;;;;;1295;;18194;;151035;;;;;;;;3368;;;;;;;;;;11721;;22422;;;;;;;;;;3869;;12978;;;;;;;;;;;;;;;;;;7313;4599;;2185;

198;"Neuwied";7;240335;242568;;;173536;172799;;;3247;3873;2387;2735;170289;168926;171149;170064;79782;66214;78011;61307;63450;61544;48871;42279;3913;17881;8025;28754;7654;11331;8950;15360;6766;9518;10632;14005;;;;;3409;;3286;2758;2170;2438;1610;1820;;;;;;;271;689;;;326;327;;;;1548;;;;;;;;;;;;;;;;1022;;;;;;;;;;;71;72;;;;;;;;;;;8734;;;;;;;;385;;;;;;;;;;3145;;1626;;;;;;;;351;;;;;;;;;;;;;;;;;;;;;;;;;123;
199;"Ahrweiler";7;195093;195658;;;142589;139346;;;3109;2813;1924;2187;139480;136533;140665;137159;77375;62145;68681;54737;39066;33987;34660;28973;3312;20470;7897;25933;6221;8310;6569;10171;7812;10094;9287;11622;;;;;4255;;2924;2204;;1527;1070;1192;;;;;;;212;409;1439;;563;397;;;;1123;;;;;;;;;;;;;;;;288;;;;;;;;;;;34;31;;;;;;;;;;;7317;;;;;;;;262;;;;;;;;;;;;929;;;;;;;;260;;;;;;;;;;;;;;;;;;;;;;;;;79;
200;"Koblenz";7;198113;196560;;;142887;138790;;;3193;3133;2039;2553;139694;135657;140848;136237;67049;59853;63417;49065;43094;38080;38221;32414;3772;13084;7595;23679;6899;9935;7358;11239;11184;13222;10853;13732;;;;;3952;;3079;2690;;1483;934;1188;;;;;;;176;432;;;324;324;;;;1118;;;;;;;;;;;;;;;;227;;;;;;;;;;;29;31;;;;;;;;;;;6618;;;;;;;;282;;;;;;;;;;3744;;1713;;;;;;;;249;;;;;;;;;;;;;;;;;;;;;;;;;98;
201;"Mosel/Rhein-Hunsrück";7;175452;178493;;;129261;129502;;;3116;4212;2310;2615;126145;125290;126951;126887;67657;59719;62703;49993;35141;29768;31202;26369;3990;15621;7948;24093;5643;8979;6139;10510;5083;9690;7257;10221;;;;;2606;;2352;2017;1275;1513;1058;1130;;;;;;;177;482;830;;473;284;;;;1278;;;;;;;;;;;;;;;;385;;;;;;;;;;;36;25;;;;;;;;;;;5311;;;;;;;;283;;;;;;;;;;3920;;1694;;;;;;;;318;;;;;;;;;;;;;;;;;;;;;;;;;100;
202;"Kreuznach";7;187473;190569;;;132333;133191;;;3448;3062;2534;2458;128885;130129;129799;130733;53324;61167;53335;43300;48521;37332;40708;34984;3767;8684;7237;21190;6688;11579;7485;14197;5733;8768;8221;11065;;;;;2996;;2394;2030;1772;1798;1433;1560;;;;;;;285;547;;;253;260;;;;1158;;;;;;;;;;;;;;;;248;;;;;;;;;;;32;36;;;;;;;;;;;6104;;;;;;;;294;;;;;;;;;;5181;;1736;;;;;;;;282;;;;;;;;;;;;;;;;;;;;;;903;801;;158;
203;"Bitburg";7;166310;168357;;;119295;120001;;;2685;3429;2029;2390;116610;116572;117266;117611;65270;53705;61186;48270;30704;28042;26199;22419;3789;16213;7142;22500;3860;8043;5132;9642;5743;9274;7166;9922;;;;;2067;;2159;1717;1058;1295;906;1021;;;;;;;135;354;426;;306;266;;;;1237;;;;;;;;;;;;;;;;149;;;;;;;;;;;38;22;;;;;;;;;;;4226;;;;;;;;186;;;;;;;;;;2854;;1921;;;;;;839;;564;;;;;;;;;;;;;;;;;;;;;;;;;92;
204;"Trier";7;193900;192571;;;141099;139027;;;3339;3573;2580;2348;137760;135454;138519;136679;67281;61980;60906;50519;42876;35039;36408;30426;2656;11330;6841;20509;7642;11639;8688;13128;9555;14143;13157;16500;;;;;3865;;3507;2489;1287;1323;1043;1099;;;;;;;136;350;;;290;284;;;;1119;;;;;;;;;;;;;;;;155;;;;;;;;;;;76;27;;;;;;;;;;;5736;;;;;;;;173;;;;;;;;;;1650;;1287;;;;;;;;271;;948;;;;;;;;;;;;;;;;;;;;;;;74;
205;"Montabaur";7;211074;213225;;;155187;154343;;;3322;3255;2262;2698;151865;151088;152925;151645;74974;65215;69197;53078;47098;44416;42512;36122;3716;16541;7992;28104;7220;11884;7730;13186;9005;10685;9639;13047;;;;;3708;;3108;2948;2346;2347;1709;1895;;;;;;;276;638;;;291;311;;;;1627;;;;;;;;;;;;;;;;540;;;;;;;;;;;77;31;;;;;;;;;;;7836;;;;;;;;299;;;;;;;;;;3798;;1943;;;;;;;;316;;;;;;;;;;;;;;;;;;;;;;;;;118;
206;"Mainz";7;256317;251837;;;196078;191097;;;3593;3627;2522;2619;192485;187470;193556;188478;77282;68081;74390;61777;67168;57338;51613;43303;9634;22054;12688;29045;8358;10737;10652;13922;19339;23696;25339;29745;;;;;5164;;4802;4553;;2043;1055;1153;;;;;;;561;2265;1819;2384;1314;1305;;;;1035;;;;;;;;;;;;;;;;245;287;304;;;;833;;;;;72;34;;;;;;;;;;;8815;;;;;;;;339;;;;;;;;;;2603;;1427;;;;;;831;;489;;;;;;;;;;;;;;;;;;;;;;;;;96;
207;"Worms";7;201948;202156;;;148925;147381;;;2952;3191;2576;2788;145973;144190;146349;144593;61336;51892;57612;46831;53948;54255;43671;39125;3652;14051;8657;22748;5359;10218;7398;12098;8111;10515;12267;14609;;;;;2728;;3138;2909;2080;3259;2116;2284;;;;;;;541;1508;648;;495;425;;;;1468;;;;;;;;;;;;;;;;421;;;;;;;;;;;40;30;;;;;;;;;6311;;8188;;;;;;;;268;;;;;;;;;;1800;;1595;;;;;;;;363;;;;;;;;;;;;;;;;;;;;;;;;;137;
208;"Ludwigshafen/Frankenthal";7;217129;217445;;;155033;153455;;;3240;3013;2595;2744;151793;150442;152438;150711;65757;57736;59433;48785;54024;48713;45023;40325;3774;12878;7952;22392;7480;13002;8540;15457;7243;9277;11042;12919;;;;;4179;3188;3878;3079;2665;1807;2166;1798;;;;;2452;3631;1795;3601;;;320;319;;;;1443;;;;;;;;;;;;;;;;314;;;;;;;;;286;210;187;121;;;;;;;;;;;9160;;;;;;;;349;;;;;;;;;;3933;;2153;;;;;;;;440;;;;;;;;;;;;;;;;;;;;;;;;;158;
209;"Neustadt - Speyer";7;220546;220974;;;165418;164052;;;3833;3870;2641;2884;161585;160182;162777;161168;77361;71481;71081;57953;46217;40404;41982;36117;4354;14870;9337;26988;7244;12546;7871;13486;13053;13748;13914;16485;;;;;4189;;3660;3030;2728;2710;1778;1935;;;;;;;942;1918;;;425;426;1099;3140;;2217;;;;;;;;;;;;;;;;453;;;;;;;;;;;44;44;;;;;;;;;;;7965;;;;;;;;332;;;;;;;;;;4523;;2835;;;;;;817;;611;;;;;;;;;;;;;;;;;;;;;;;1283;;116;
210;"Kaiserslautern";7;232164;235030;;;163006;163350;;;4019;4062;3139;3166;158987;159288;159867;160184;59089;52311;57376;45212;61251;55070;52241;44362;3584;14725;7315;22932;11813;22205;12107;22670;8446;10834;11430;13936;;;;;4810;;4278;3421;3953;4143;3088;3197;;;;;;;581;1373;;;322;406;1896;;;2074;;;;;;;;;;;;;;;;414;;;;;;;;;;;55;55;;;;;;;;;;;7093;;;;;;;;415;;;;;;;;;;4145;;3031;;;;;;;;535;;;;;;;;;;;;;;;;;;;;;;;;;132;
211;"Pirmasens";7;180543;184220;;;128747;131065;;;4081;4156;3157;3205;124666;126909;125590;127860;57191;50035;54871;44143;40193;34342;35105;28982;3446;14105;6344;19605;7485;15989;8173;16977;5059;8840;5960;8528;;;;;3326;;3063;2561;2429;3598;2179;2533;;;;;1914;;1314;1662;;;267;391;;;;1945;;;;;;;;;;;;;;;;387;;;;;;;;;;;42;32;;;;;;;;;;;5461;;;;;;;;282;;;;;;;;;;3623;;2046;;;;;;;;483;;;;;;;;;;;;;;;;;;;;;;;;;114;
212;"Südpfalz";7;216138;214215;;;158665;156149;;;3548;3719;2820;3029;155117;152430;155845;153120;75749;61994;66524;52517;43384;42287;40536;34790;6217;19431;9677;26201;6308;10926;7538;13137;11064;12637;13172;15635;;;;;4608;;4092;3322;2082;3230;1833;2272;;;;;1605;;1233;1980;940;;680;609;;;;1889;;;;;;;;;;;;;;;;575;;;;;;;;;;;71;59;;;;;;;;;;;7564;;;;;;;;349;;;;;;;;;;3160;;2166;;;;;;;;410;;;;;;;;;;;;;;;;;;;;;;;1925;;134;
7;"Rheinland-Pfalz";99;3092535;3103878;;;2252059;2233548;;;50725;52988;37515;40419;2201334;2180560;2214544;2193129;1026477;903528;958723;767487;716135;640617;608952;520990;63576;231938;122647;364673;105874;177323;120330;205180;133196;174941;169336;211971;;;;;55862;3188;49720;41728;25845;34514;23978;26077;;;;;5971;3631;8635;18208;6102;2384;6649;6334;2995;3140;;22279;;;;;;;;;;;;;;;;5823;287;304;;;;833;;;286;210;904;650;;;;;;;;;6311;;106128;;;;;;;;4498;;;;;;;;;;48079;;28102;;;;;;2487;;5942;;948;;;;;;;;;;;;;;;;;;;;903;4009;;1729;

258;"Stuttgart I";8;191191;184454;;;152565;142504;;;1339;1527;1080;1120;151226;140977;151485;141384;63461;48518;56786;39482;25042;25364;31766;26656;3893;14514;12544;27557;5823;6601;9435;9439;41520;42116;26531;31076;;;;;3313;2350;4338;3426;673;1068;506;691;;;860;667;;;224;758;697;;526;494;;;;;;;;;;;258;;;;;;;;170;250;161;446;78;150;;;;361;;;102;144;;;141;143;;;;;4150;;6281;;;;136;;;;63;;;;;;;;;;863;;644;;;;;;;;96;;;;;;;;;;;;;;;;;;;;;;1630;;;90;
259;"Stuttgart II";8;183064;181088;;;134308;129259;;;1511;1789;1323;1539;132797;127470;132985;127720;58223;44002;52330;37151;34680;33525;30485;26675;3578;13327;8830;22059;6632;10902;8909;11437;18499;21453;18347;22916;;;;;3063;1893;3460;2616;1073;1673;798;999;;;846;756;;;479;1365;;;382;444;;;;;;;;;;;367;;;;;;;;135;263;121;373;44;128;;;;336;280;322;218;253;;;153;217;;;;;4497;;6047;;;;255;;;;81;;;;;;;;;;1201;;735;;;;;;;;84;;;;;;;;;;;;;;;;;;;;;;950;;;105;
260;"Böblingen";8;247119;244919;;;191157;185176;;;2411;2730;1878;2507;188746;182446;189279;182669;102411;82344;88736;61918;44672;36550;37807;34915;6502;23717;13517;38125;7621;9657;8234;11118;17750;24138;19613;25364;;;;;4480;2798;4133;3861;2582;2914;1743;2265;;;1331;1089;;;566;1273;;;533;552;;;;;;;;;;;331;;;;;;;;613;1085;;;85;68;;;;356;304;328;163;197;;;456;346;;;;;;;9666;;;;184;;;;161;;;;;;;;;;2424;;1291;;;;;;;;116;;;;;;;;;;;;;;;;;;;;;;;;;137;
261;"Esslingen";8;166975;165210;;;129700;125558;;;1274;1711;1162;1450;128426;123847;128538;124108;65825;53829;57609;41672;32380;35396;28202;25797;2474;10819;7858;22873;4788;6225;5862;7680;14235;15511;15483;19402;;;;;2936;;2871;2051;912;1768;880;1069;;;1110;582;1004;;873;1601;;;303;351;;;;;;;;;;;242;;;;;;;;165;275;;;18;68;;;;210;;299;111;148;;;152;239;;;;;3872;;5835;;;;142;;;;88;;;;;;;;;;;;643;;;;;;;;91;;;;;;;;;;;;;;;;;;;;;;;;;90;
262;"Nürtingen";8;205986;204091;;;160102;154949;;;1733;2431;1679;1978;158369;152518;158423;152971;80706;66116;72842;51146;40013;36910;31499;28943;4013;17768;10880;31686;5209;7973;6537;8661;15669;21104;18434;22902;;;;;3241;;3602;2552;1204;2647;1181;1411;;;1230;787;2124;;1744;2651;;;478;413;;;;;;;;;;;387;;;;;;;;370;701;;;10;94;;;;275;;;59;88;;;320;502;;;;;5048;;7599;;;;110;;;;130;;;;;;;;;;1142;;913;;;;;;;;98;;;;;;;;;;;;;;;;;;;;;;;;;159;
263;"Göppingen";8;179062;180442;;;132623;129901;;;1933;2288;1532;2045;130690;127613;131091;127856;64092;55049;60055;42318;31644;33916;28433;26524;4393;13177;7646;24408;4710;8157;5569;9327;14011;14009;13274;17018;;;;;2555;;2629;2371;1812;2385;1595;1730;;;1003;956;;;551;1377;592;920;405;523;;;;;;;;;;;284;;;;;;;;240;465;;;17;60;;;;325;;;67;79;;;198;261;;;;;6881;;8227;;;;160;;;;93;;;;;;;;;;;;530;;;;;;;;115;;;;;;;;;;;;;;;;;;;;;;;;;114;
264;"Waiblingen";8;220617;220220;;;168196;164521;;;2067;2560;1630;2140;166129;161961;166566;162381;85489;69575;76090;53864;38122;44071;33398;31431;6194;19793;13006;33634;6083;8627;7513;10511;17473;15379;17116;22834;;;;;3685;;3536;2865;2221;2720;1772;1775;;;1330;934;;;648;1503;;1477;568;881;;;;;;;;;;;607;;;;;;;;614;907;;;15;70;507;;;503;;319;113;140;;;390;311;;;;;6355;;8980;;;;99;;;;106;;;;;;;;;;;;550;;;;;;;;115;;;;;;;;;;;;;;;;;;;;;;;;;218;
265;"Ludwigsburg";8;202968;206805;;;162824;156053;;;2283;2440;1544;1882;160541;153613;161280;154171;80934;61328;70979;50274;33978;34718;34338;31079;5126;19431;11140;30179;7741;9800;7594;10382;21665;23966;18841;23090;;;;;4348;;3570;2995;2250;2436;1367;1538;;;1103;943;;;562;1548;1144;963;557;628;;;;;;;;;;;507;;;;;;;971;335;608;;;21;64;;;;360;;;120;109;;;201;245;;;;;;;8250;;;;137;;;;142;;;;;;;;;;3355;;1380;;;;;;;;136;;;;;;;;;;;;;;;;;;;;;;;;;129;
266;"Neckar-Zaber";8;227696;224090;;;177140;170674;;;2864;2745;1884;2300;174276;167929;175256;168374;92691;70606;79372;55618;45961;39430;36849;33711;5404;24682;11799;34641;7697;9169;7271;10852;16474;18626;18551;22773;;;;;;;3810;3041;3442;2798;1921;1941;;;1350;1161;;;737;1954;2607;1177;705;785;;;;;;;;;;;641;;;;;;;;474;905;;;79;85;;;;353;;;86;60;;;299;318;;;;;;;9703;;;;186;;;;190;;;;;;;;;;;;1051;;;;;;;;182;;;;;;;;;;;;;;;;;;;;;;;1441;;176;
267;"Heilbronn";8;241665;241035;;;173785;168927;;;2896;3239;2197;2698;170889;165688;171588;166229;87779;73308;78544;57889;46231;41484;37934;35331;6178;19924;10927;31932;7554;10693;8141;12256;12771;14594;14658;16917;;;;;4599;;3788;3246;3905;3657;2671;2622;;;1250;1131;;;715;1853;1469;1656;730;1040;;;;;;;;;;;542;;;;;;;;432;912;;;28;70;;;;264;403;372;133;186;;;308;358;;;;;;;9265;;;;320;;;;263;;;;;;;;;;;;771;;;;;;;;168;;;;;;;;;;;;;;;;;;;;;;;;;222;
268;"Schwäbisch Hall - Hohenlohe";8;224401;223234;;;158394;154351;;;2626;3030;2155;2561;155768;151321;156239;151790;81429;65474;72838;52745;35729;32606;31231;27907;6128;19839;10354;28688;6626;10938;7536;11554;15569;18132;15642;19829;;;;;4226;;3370;2950;3184;3328;2119;2429;;;1143;1070;;;605;1444;2877;;1183;905;;;;;;;;;;;442;;;;;;;;575;1173;;;23;78;;;;317;;;81;86;;;277;401;;;;;;;7798;;;;94;;;;146;;;;;;;;;;;;608;;;;;;;;174;;;;;;;;;;;;;;;;;;;;;;;1004;;214;
269;"Backnang - Schwäbisch Gmünd";8;175215;176381;;;130256;126601;;;2471;2504;1648;2189;127785;124097;128608;124412;70745;55492;62234;44068;31673;30902;26198;24289;3541;12822;7420;23060;5079;8177;5455;8840;10439;12749;11658;15606;;;;;3856;;2761;2229;2452;2404;1587;1578;;;1011;777;;;547;1608;;;424;533;;;;;;;;;;;402;;;;;;;1240;514;909;;;29;79;;;;329;;;76;92;;;245;276;;;;;;;7268;;;;55;;;;121;;;;;;;;;;;;434;;;;;;;;169;;;;;;;;;;;;;;;;;;;;;;;311;;139;
270;"Aalen - Heidenheim";8;221306;224418;;;162973;159936;;;2863;3218;2033;2871;160110;156718;160940;157065;92292;70599;79411;57878;39464;39951;35859;32195;2857;15604;7267;26534;7931;11775;7492;12351;12402;14226;13530;17732;;;;;4934;;3115;2830;;2996;2169;1867;;;1010;915;;;984;2251;;;656;827;;;;;;;;;;;450;;;;;;;;323;644;;;16;86;;;;314;;;49;55;;;304;397;;;;;;;7232;;;;96;;;;161;;;;;;;;;;;;692;;;;;;;;124;;;;;;;;;;;;;;230;;;;;;;;;1567;;189;
271;"Karlsruhe-Stadt";8;205735;201833;;;150041;143521;;;1939;2030;1450;1855;148102;141491;148591;141666;58458;53872;55799;40566;43868;37845;33789;29227;4712;11845;8974;24654;7251;10034;8929;11807;20332;21452;22263;26051;;;;;5155;4359;6011;5008;906;1534;846;1295;;;1109;894;453;;352;544;;;425;405;;;;;;;;;;;249;;;;;;;;206;444;;;65;75;;;;254;;234;93;133;;;184;205;;;;;5977;;8295;;;;77;;;;87;;;;;;;;;;990;;722;;;;;;;;116;;;;;;;;;;;;;;;;;;;;;;;316;;104;
272;"Karlsruhe-Land";8;209732;208654;;;159919;155522;;;2750;2991;1889;2339;157169;152531;158030;153183;83824;68951;73798;55285;40719;39021;33409;31160;4476;17668;9546;29292;5885;8569;6455;9935;12308;15506;15161;18066;;;;;4368;;3758;3307;1850;2310;1301;1567;;;1278;1107;1219;;728;1228;;;346;390;;;;;;;;;;;385;;;;;;;;491;896;;;16;71;;;;263;;;41;67;;;258;406;;;;;;;9446;;;;62;;;;196;;;;;;;;;;2520;;1205;;;;;;;;150;;;;;;;;;;;;;;;;;;;;;;;506;;143;
273;"Rastatt";8;207560;208664;;;148147;146160;;;2508;3219;2196;2667;145639;142941;145951;143493;77846;68652;71747;55806;33482;33279;30043;27376;4527;14235;8436;25553;5073;8935;6055;10093;12232;15404;13223;16649;;;;;3057;;2906;2538;1642;2436;1409;1727;;;1070;1095;;;376;1013;;;285;378;;;;;;;;;;;380;;;;;;;;174;348;;;12;83;;;;321;;;53;58;;;329;316;;;;;7020;;8397;;;;46;;;;121;;;;;;;;;;;;749;;;;;;;;140;;;;;;;;;;;;;;;;;;;;;;760;;;139;
274;"Heidelberg";8;215996;211807;;;168164;162920;;;1857;2338;1771;1932;166307;160582;166393;160988;68058;57963;62328;49296;50849;47683;38915;35337;5181;19314;11630;28419;6893;8985;9413;11823;20388;24985;24597;28349;;;;;3430;;4581;3396;1210;1652;1135;1318;;;1187;958;;;265;686;660;;401;364;;;;;;;;;;;292;;;;;;;;144;288;;;18;62;;;;285;;;44;57;;;189;239;;;;;8142;;10211;;;;85;;;;79;;;;;;;;;;781;;762;;;;;;;;117;;715;;;;;;;;;;;;;;;;;;;;;;;111;
275;"Mannheim";8;198520;198437;;;137790;134143;;;2622;2149;2084;1785;135168;131994;135706;132358;53820;48137;47598;38435;43736;39845;37366;32627;3772;11782;7427;19900;8951;12520;10227;14936;16544;16648;15047;18052;;;;;4606;;4260;3258;2514;2418;1585;1772;;;1378;1090;;;514;987;;;279;236;;;;;;;;;;;497;;;;;;;;161;238;;;27;60;;;;239;270;333;120;121;;;277;286;;;;;;;8139;;;;103;;;;136;;;;;;;;;;;;465;;;;;;;;100;;955;;;;;;;;;;;;;;;;;;;;;311;;121;
276;"Odenwald - Tauber";8;213424;215910;;;155589;153296;;;2317;3375;2355;3040;153272;149921;153234;150256;90617;75337;79511;63120;32695;29977;30268;27740;2807;17199;7956;25455;5158;9821;6379;10357;9018;13173;10984;13770;;;;;2968;;3049;2648;2177;2876;2022;2015;;;1198;1139;;;614;1415;1554;1538;1030;1156;;;;;;;;;;;383;;;;;;;;213;502;;;24;98;;;;274;;;34;59;;;299;332;;;;;6278;;7993;;;;75;;;;154;;;;;;;;;;;;906;;;;;;;;142;;;;;;;;;;;;;;;;;;;;;;;;;176;
277;"Rhein-Neckar";8;197424;195971;;;147803;144215;;;2253;2928;2056;2277;145550;141287;145747;141938;72268;59755;63875;49922;37725;35426;32457;29356;3709;17833;9444;26191;5811;10596;6959;11078;12029;14952;13912;16723;;;;;3880;;3909;2970;2040;2725;1936;1894;;;1255;1060;655;;591;979;759;;421;406;;;;;;;;;;;343;;;;;;;;264;489;;;20;65;;;;267;;;34;49;;;267;328;;;;;6674;;8785;;;;72;;;;125;;;;;;;;;;;;932;;;;;;;;146;;;;;;;;;;;;;;;;;;;;;;;;;161;
278;"Bruchsal - Schwetzingen";8;196044;194304;;;145114;141401;;;2475;3452;2083;2611;142639;137949;143031;138790;73945;64659;66656;50031;35252;32525;30862;27934;3966;15785;8133;26626;5345;9995;6357;10723;9678;12082;11696;14084;;;;;3396;;3556;2976;1716;2903;1628;1825;;;1433;1301;1261;;1042;1642;;;283;384;;;;;;;;;;;419;;;;;;;;164;385;;;22;70;;;;254;;;42;65;;;272;357;;;;;6277;;8672;;;;89;;;;168;;;;;;;;;;1803;;1364;;;;;;;;173;;;;;;;;;;;;;;;;;;;;;;;;;133;
279;"Pforzheim";8;220093;220877;;;159501;155907;;;2326;3120;2116;2805;157175;152787;157385;153102;77730;62224;70987;52771;36055;34944;31781;30652;9063;24640;11171;30192;6435;10353;7247;11279;12535;15236;14095;17556;;;;;3457;;3405;3048;2502;3172;2125;2029;;;1315;1211;;;619;1439;;;389;412;;;;;;;;;;;461;;;;;;;2218;600;1374;;;15;67;;;;337;;;72;73;;;316;450;;;;;8044;;11344;;;;97;;;;175;;;;;;;;;;1354;;1012;;;;;;;;159;;;;;;;;;;;;;;;;;;;;;;;;;212;
280;"Calw";8;198166;198923;;;145150;142812;;;2446;2877;1881;2537;142704;139935;143269;140275;83513;64808;73262;53358;28891;28255;25284;24450;4072;17528;9208;28260;6094;9136;5950;9537;10035;13460;10932;14464;;;;;3038;;2642;2390;2107;1915;1689;1813;;;994;1023;1522;2172;905;1955;1164;;525;464;;;;;;;;;;;409;;;;;;;2661;792;1698;;;21;68;;;;277;;;39;72;;;260;325;;;;;;;9013;;;;88;;;;133;;;;;;;;;;2268;;1006;;;;;;;;117;;;;;;;;;;;;;;;;;;;;;;;;;121;
281;"Freiburg";8;219482;210636;;;168260;157681;;;1736;2537;1700;1998;166524;155144;166560;155683;58104;44749;59001;42224;50001;51192;36789;32691;3181;12674;8056;21887;8082;9675;13103;13793;34760;33878;33043;35536;;;;;3829;;4972;4289;951;890;784;764;;;1465;1165;;1063;282;981;;;642;474;;;;;;;;;;;361;;;;;;;;329;581;;;21;49;444;1023;;658;;;77;88;;;261;369;;;;;4207;;6383;;;;51;;;;88;;;;;;;;;;1108;;732;;;;;;;;120;;;;;;;;;;;;;;;;;;;;;;1857;;;134;
282;"Lörrach - Müllheim";8;229316;225703;;;164330;156692;;;2313;2864;2139;2577;162017;153828;162191;154115;81199;58282;70883;49707;39902;49591;35326;33953;3857;16932;9160;26425;6307;9268;7863;10802;19467;16151;20596;23904;;;;;3747;;3586;3116;1741;2106;1413;1271;;;1393;1124;;;590;1333;;;410;422;;;;;;;;;;;451;;;;;;;1498;590;987;;;40;55;;;;323;;;50;57;;;547;508;;;;;5797;;8216;;;;72;;;;119;;;;;;;;;;;;732;;;;;;;;154;;;;;;;;;;;;;;;;;;;;;;;;;128;
283;"Emmendingen - Lahr";8;215215;213013;;;153907;149482;;;3295;3557;2647;3458;150612;145925;151260;146024;78797;61427;69280;50594;39771;35339;32124;29740;2741;14470;7739;24135;7003;10238;7013;11134;17368;22429;18294;21332;;;;;;;3665;3029;1927;2022;1170;1310;;;1497;1425;;;418;986;3005;;1082;523;;;;;;;;;;;371;;;;;;;;397;584;;;35;56;;;;355;;;30;38;;;363;399;;;;;;;6798;;;;51;;;;101;;;;;;;;;;;;710;;;;;;;;122;;;;;;;;;;;;;;;;;;;;;;;;;384;
284;"Offenburg";8;205119;204619;;;145206;141835;;;2388;3305;2445;3164;142818;138530;142761;138671;80030;65336;68927;52083;28862;27052;27442;24662;3063;15454;8151;24887;6079;10129;6751;10742;14110;17460;15307;18247;;;;;2835;;3024;2605;1471;2069;1318;1506;;;1245;974;;;357;914;;;350;430;;;;;;;;;;;311;;;;;;;;218;444;;;14;75;;;;417;;;32;42;;;332;453;;;;;5567;;7718;;;;24;;;;79;;;;;;;;;;801;;852;;;;;;;;309;;;;;;;;;;;;;;;;;;;;;;;1030;;190;
285;"Rottweil - Tuttlingen";8;199242;200726;;;143467;141391;;;2541;3816;2306;3024;140926;137575;141161;138367;81514;66104;72997;53547;25042;22388;24756;22550;4713;24395;9023;30249;5291;8140;5601;8753;10546;11503;10385;12924;;;;;;;2582;2396;2297;3006;2080;2298;;;967;1022;;;413;1126;2419;2039;1254;1498;;;;;;;;;;;420;;;;;;;;357;782;;;27;110;;;;294;;;29;45;;;353;502;;;;;7111;;8212;;;;54;;;;99;;;;;;;;;;1993;;1381;;;;;;;;171;;;;;;;;;;;;;;;;;;;;;;;;;271;
